City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Kapaa,US,84.18,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
1,Qui Nhon,VN,84.47,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
4,Khasan,RU,75.56,overcast clouds,42.4308,130.6434,
17,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Albany,US,75.51,overcast clouds,42.6001,-73.9662,
21,Cattolica,IT,80.47,overcast clouds,43.9575,12.7376,Hotel Antares
23,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
24,Tual,ID,81.27,broken clouds,-5.6667,132.75,Grand Vilia Hotel
27,Aklavik,CA,83.23,overcast clouds,68.2191,-135.0107,Aklavik Inn
28,Guerrero Negro,MX,83.82,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
33,Dingle,PH,77.95,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
38,Cabra,ES,78.24,broken clouds,37.4725,-4.4421,MS Fuente Las Piedras
44,Gizo,SB,80.4,light rain,-8.103,156.8419,Imagination Island
47,Yamada,JP,77.56,clear sky,39.4667,141.95,Iroha-ya Inn
53,La Seyne-Sur-Mer,FR,75.15,scattered clouds,43.0982,5.8847,Hôtel Kyriad Prestige TOULON
54,Atuona,PF,77.11,scattered clouds,-9.8,-139.0333,Villa Enata
55,Hamilton,US,80.78,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
60,Ciudad Bolivar,VE,81.57,few clouds,8.1222,-63.5497,Hotel Edi
65,Tautira,PF,80.62,scattered clouds,-17.7333,-149.15,Pension Oaoa
74,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
75,Hobyo,SO,77.4,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
78,Hithadhoo,MV,81.07,light rain,-0.6,73.0833,Scoop Guest House
86,San Cristobal,VE,82.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
87,Magaria,NE,82.94,light rain,12.9983,8.9099,Chez Honorable Chapiou
89,Makakilo City,US,82.72,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
92,Akyab,MM,79.75,overcast clouds,20.15,92.9,Hotel Memory
94,Paka,MY,75.13,broken clouds,4.6374,103.4368,RUMBIA RESORT VILLA
96,Ryotsu,JP,78.76,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
104,Avarua,CK,75.25,moderate rain,-21.2078,-159.775,Paradise Inn
105,Santa Marta,CO,84.69,few clouds,11.2408,-74.199,Casa de Isabella
111,Puerto Baquerizo Moreno,EC,76.19,few clouds,-0.9,-89.6,Hotel los Algarrobos
115,Phan Thiet,VN,76.17,overcast clouds,10.9333,108.1,Hotel Saigon-PT
120,Pocone,BR,80.89,clear sky,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
122,Watertown,US,77.52,few clouds,42.3709,-71.1828,Sonesta International Hotels Corporation
128,Bethel,US,75.07,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
129,Amberley,US,80.1,haze,39.2048,-84.428,"Motel 6 Cincinnati, OH - Central - Norwood"
134,Bardiyah,LY,80.38,clear sky,31.7561,25.0865,بورتو بردية
136,Mana,GF,79.47,moderate rain,5.6592,-53.7767,LE SAMANA
141,Katsuura,JP,80.71,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
146,Thompson,CA,84.36,few clouds,55.7435,-97.8558,Burntwood Hotel
148,Luorong,CN,77.5,overcast clouds,24.4058,109.6086,荣立大酒店
154,Gouyave,GD,83.17,few clouds,12.1646,-61.7296,Rumboat Retreat
155,Sakaiminato,JP,78.73,broken clouds,35.55,133.2333,味処・民宿 まつや
158,Lat Yao,TH,80.28,light rain,15.751,99.7893,หจก. ลาดยาวการเกษตร
159,Berekua,DM,84.49,scattered clouds,15.2333,-61.3167,CarRod's Cottages
162,Kavieng,PG,82.71,clear sky,-2.5744,150.7967,Nusa Island Retreat
166,Banda Aceh,ID,79.74,overcast clouds,5.5577,95.3222,Sulthan Hotel International
176,Port Blair,IN,81.82,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
179,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
180,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
183,Garowe,SO,80.33,scattered clouds,8.4054,48.4845,Curubo Hotel
185,Butaritari,KI,83.17,clear sky,3.0707,172.7902,Isles Sunset Lodge
186,Georgetown,MY,75.88,few clouds,5.4112,100.3354,Cititel Penang
187,Haines Junction,CA,78.75,few clouds,60.7522,-137.5108,Parkside Inn
198,Marsa Matruh,EG,80.8,clear sky,31.3525,27.2453,Beau Site
199,Takoradi,GH,75.51,few clouds,4.8845,-1.7554,Raybow International Hotel
204,Hasaki,JP,79.29,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
206,Thanh Hoa,VN,77.54,moderate rain,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
211,Mayo,US,82.38,overcast clouds,38.8876,-76.5119,Resorts Resource Group International
213,Seoul,KR,76.6,overcast clouds,37.5683,126.9778,롯데호텔 서울
219,Vyshneve,UA,78.1,clear sky,50.3891,30.3705,Sofiyivsʹkyy Posad
221,Thinadhoo,MV,81.68,light rain,0.5333,72.9333,
224,Pacific Grove,US,84.16,clear sky,36.6177,-121.9166,Lovers Point Inn
225,Bandarbeyla,SO,82.24,few clouds,9.4942,50.8122,JABIR HOTEL
236,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
237,Cabedelo,BR,77.67,clear sky,-6.9811,-34.8339,Hotel Pigalle
245,Tuy Hoa,VN,83.08,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
250,Acarau,BR,78.46,broken clouds,-2.8856,-40.12,castelo pizzaria
263,Robertsport,LR,78.08,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
267,Wanning,CN,80.6,overcast clouds,18.8003,110.3967,Paradise Hotel
269,Charcas,MX,78.89,few clouds,23.1333,-101.1167,Hotel El Malacate
274,Ugoofaaru,MV,82.62,overcast clouds,5.6667,73.0,Ungoofaaru Inn
275,Lorengau,PG,84.27,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
278,Natal,BR,79.02,clear sky,-5.795,-35.2094,Villa Park Hotel | Natal
283,Virginia Beach,US,84.02,broken clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
287,Altamira,BR,78.89,few clouds,-3.2033,-52.2064,Requinte Hotel
288,Samandag,TR,82.92,clear sky,36.0842,35.9771,Anadolu Palace Hotel
292,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
297,Isabela,PH,80.65,overcast clouds,6.7085,121.9711,Isawad Resort
298,Kieta,PG,80.53,clear sky,-6.2167,155.6333,Uruna Bay Retreat
303,Balykshi,KZ,75.2,clear sky,47.0667,51.8667,Гостиница Golden Rose
305,Mogadishu,SO,75.92,light rain,2.0371,45.3438,Hotel Juba
312,Khujand,TJ,76.28,overcast clouds,40.2853,69.6279,Firuz Hotel
313,Suchindram,IN,79.81,overcast clouds,8.15,77.4833,mariya rose mobile
314,Iquitos,PE,84.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
316,Palmer,US,76.55,broken clouds,42.1584,-72.3287,Wedgewood Motel
321,Sioux Lookout,CA,75.58,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
324,Manga,BF,76.32,few clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
332,Ozinki,RU,76.44,clear sky,51.1786,49.6769,Korolevskiy Dvor
333,Ojinaga,MX,83.35,clear sky,29.5667,-104.4167,Suites Las Palmas
336,Kudahuvadhoo,MV,82.22,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
