City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
0,Kapaa,US,22.0752,-159.319,84.18,78,90,4.0,overcast clouds,2021-08-01 21:37:21
1,Qui Nhon,VN,13.7667,109.2333,84.47,68,91,12.48,overcast clouds,2021-08-01 21:37:21
2,Formosa,AR,-26.1775,-58.1781,69.78,43,0,3.44,clear sky,2021-08-01 21:33:18
3,Severo-Kurilsk,RU,50.6789,156.125,55.53,73,0,14.61,clear sky,2021-08-01 21:37:22
4,Khasan,RU,42.4308,130.6434,75.56,91,95,19.37,overcast clouds,2021-08-01 21:37:22
5,New Norfolk,AU,-42.7826,147.0587,37.76,83,20,2.46,few clouds,2021-08-01 21:37:22
6,Ushuaia,AR,-54.8,-68.3,46.06,46,20,18.41,few clouds,2021-08-01 21:37:23
7,Cape Town,ZA,-33.9258,18.4232,58.12,81,75,1.14,broken clouds,2021-08-01 21:36:40
8,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,82,0,6.71,clear sky,2021-08-01 21:37:23
9,Torbay,CA,47.6666,-52.7314,68.77,67,20,21.85,few clouds,2021-08-01 21:37:24
10,Bengkulu,ID,-3.8004,102.2655,73.87,89,97,4.21,overcast clouds,2021-08-01 21:37:24
11,Mataura,NZ,-46.1927,168.8643,41.49,95,80,2.82,broken clouds,2021-08-01 21:37:24
12,Mar Del Plata,AR,-38.0023,-57.5575,46.09,31,90,3.0,mist,2021-08-01 21:37:25
13,Bredasdorp,ZA,-34.5322,20.0403,58.32,72,83,4.61,broken clouds,2021-08-01 21:34:13
14,Alyangula,AU,-13.8483,136.4192,66.07,100,90,3.44,overcast clouds,2021-08-01 21:37:25
15,Santa Rosalia,MX,27.3167,-112.2833,90.0,53,1,8.68,clear sky,2021-08-01 21:37:25
16,College,US,64.8569,-147.8028,73.72,54,75,0.0,broken clouds,2021-08-01 21:37:26
17,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,51,7.0,broken clouds,2021-08-01 21:37:26
18,Yeppoon,AU,-23.1333,150.7333,56.98,82,0,4.41,clear sky,2021-08-01 21:37:26
19,Busselton,AU,-33.65,115.3333,53.98,60,92,9.17,overcast clouds,2021-08-01 21:37:27
20,Albany,US,42.6001,-73.9662,75.51,72,86,7.52,overcast clouds,2021-08-01 21:36:50
21,Cattolica,IT,43.9575,12.7376,80.47,40,96,10.0,overcast clouds,2021-08-01 21:37:27
22,Klaksvik,FO,62.2266,-6.589,47.32,82,57,7.47,broken clouds,2021-08-01 21:37:27
23,Hilo,US,19.7297,-155.09,80.33,69,90,4.61,light rain,2021-08-01 21:37:28
24,Tual,ID,-5.6667,132.75,81.27,78,53,12.17,broken clouds,2021-08-01 21:37:28
25,Bambous Virieux,MU,-20.3428,57.7575,68.25,94,75,11.5,broken clouds,2021-08-01 21:37:28
26,Custodia,BR,-8.0875,-37.6431,66.85,82,80,13.58,broken clouds,2021-08-01 21:37:29
27,Aklavik,CA,68.2191,-135.0107,83.23,36,98,18.03,overcast clouds,2021-08-01 21:37:29
28,Guerrero Negro,MX,27.9769,-114.0611,83.82,54,3,13.38,clear sky,2021-08-01 21:37:29
29,Vaini,TO,-21.2,-175.2,73.56,78,20,20.71,few clouds,2021-08-01 21:37:30
30,Saravan,AM,39.7196,45.6483,59.65,78,99,5.75,overcast clouds,2021-08-01 21:37:30
31,Kichera,RU,55.9375,110.0997,56.79,82,91,2.04,overcast clouds,2021-08-01 21:37:30
32,Urusha,RU,54.05,122.9,49.69,95,30,2.42,scattered clouds,2021-08-01 21:37:31
33,Dingle,PH,10.9995,122.6711,77.95,87,100,8.9,overcast clouds,2021-08-01 21:37:31
34,Mount Gambier,AU,-37.8333,140.7667,44.51,87,14,10.36,few clouds,2021-08-01 21:37:31
35,Bocicoiu Mare,RO,47.9667,24.0,66.65,72,78,2.64,light rain,2021-08-01 21:37:32
36,Port Hardy,CA,50.6996,-127.4199,64.58,77,20,13.8,fog,2021-08-01 21:37:32
37,Cabo San Lucas,MX,22.8909,-109.9124,93.61,70,20,1.99,few clouds,2021-08-01 21:34:14
38,Cabra,ES,37.4725,-4.4421,78.24,28,51,3.74,broken clouds,2021-08-01 21:37:32
39,Acapulco,MX,16.8634,-99.8901,87.62,70,40,16.11,scattered clouds,2021-08-01 21:37:33
40,Henties Bay,NA,-22.116,14.2845,65.57,43,0,5.5,clear sky,2021-08-01 21:37:33
41,Straumen,NO,63.8709,11.2999,54.5,88,71,6.53,broken clouds,2021-08-01 21:37:33
42,Hofn,IS,64.2539,-15.2082,53.71,94,99,4.76,overcast clouds,2021-08-01 21:37:34
43,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,18.41,scattered clouds,2021-08-01 21:37:05
44,Gizo,SB,-8.103,156.8419,80.4,81,49,12.3,light rain,2021-08-01 21:37:34
45,Nelson Bay,AU,-32.7167,152.15,55.99,62,91,8.9,overcast clouds,2021-08-01 21:33:35
46,Magistralnyy,RU,56.1725,107.4458,54.39,65,36,2.19,scattered clouds,2021-08-01 21:37:35
47,Yamada,JP,39.4667,141.95,77.56,91,3,9.75,clear sky,2021-08-01 21:37:35
48,Hobart,AU,-42.8794,147.3294,38.12,87,0,3.0,clear sky,2021-08-01 21:37:35
49,Batagay,RU,67.6333,134.6333,59.61,47,0,1.39,clear sky,2021-08-01 21:37:36
50,Ilulissat,GL,69.2167,-51.1,59.02,38,0,5.75,clear sky,2021-08-01 21:37:36
51,Ostrovnoy,RU,68.0531,39.5131,48.79,90,17,8.3,few clouds,2021-08-01 21:37:36
52,Iranshahr,IR,27.2025,60.6848,97.14,36,14,6.91,few clouds,2021-08-01 21:37:37
53,La Seyne-Sur-Mer,FR,43.0982,5.8847,75.15,49,47,7.0,scattered clouds,2021-08-01 21:37:37
54,Atuona,PF,-9.8,-139.0333,77.11,69,31,11.18,scattered clouds,2021-08-01 21:37:37
55,Hamilton,US,39.1834,-84.5333,80.78,70,40,4.0,haze,2021-08-01 21:37:33
56,Sitka,US,57.0531,-135.33,64.29,72,75,5.75,broken clouds,2021-08-01 21:37:38
57,Provideniya,RU,64.3833,-173.3,42.91,75,90,20.13,light rain,2021-08-01 21:37:38
58,Tamandare,BR,-8.7597,-35.1047,73.9,80,8,14.65,clear sky,2021-08-01 21:37:38
59,Rikitea,PF,-23.1203,-134.9692,69.31,58,53,22.48,broken clouds,2021-08-01 21:35:09
60,Ciudad Bolivar,VE,8.1222,-63.5497,81.57,76,23,7.11,few clouds,2021-08-01 21:37:39
61,Gayny,RU,60.3071,54.3241,52.79,96,7,4.56,clear sky,2021-08-01 21:37:39
62,Borogontsy,RU,62.6683,131.1683,66.58,40,37,8.19,scattered clouds,2021-08-01 21:37:40
63,Poum,NC,-20.2333,164.0167,68.9,57,2,13.31,clear sky,2021-08-01 21:37:40
64,Lodja,CD,-3.4833,23.4333,73.71,35,87,1.16,overcast clouds,2021-08-01 21:37:40
65,Tautira,PF,-17.7333,-149.15,80.62,63,43,7.74,scattered clouds,2021-08-01 21:37:41
66,Malakal,SS,9.5334,31.6605,70.93,96,100,0.87,overcast clouds,2021-08-01 21:37:41
67,Sisimiut,GL,66.9395,-53.6735,54.95,61,0,2.24,clear sky,2021-08-01 21:37:41
68,Punta Arenas,CL,-53.15,-70.9167,44.71,65,40,19.57,scattered clouds,2021-08-01 21:37:42
69,Kruisfontein,ZA,-34.0033,24.7314,56.88,77,86,17.05,overcast clouds,2021-08-01 21:37:42
70,Jamestown,US,42.097,-79.2353,70.09,67,20,7.0,few clouds,2021-08-01 21:33:32
71,Palu,ID,-0.8917,119.8707,74.25,93,63,2.19,broken clouds,2021-08-01 21:37:42
72,Lompoc,US,34.6391,-120.4579,92.12,63,1,14.97,clear sky,2021-08-01 21:37:43
73,Mahebourg,MU,-20.4081,57.7,68.29,94,75,11.5,broken clouds,2021-08-01 21:37:43
74,Alofi,NU,-19.0595,-169.9187,78.69,69,60,17.27,broken clouds,2021-08-01 21:37:43
75,Hobyo,SO,5.3505,48.5268,77.4,80,6,22.7,clear sky,2021-08-01 21:37:44
76,Saskylakh,RU,71.9167,114.0833,72.07,46,0,3.38,clear sky,2021-08-01 21:37:44
77,Khatanga,RU,71.9667,102.5,62.56,72,46,9.64,scattered clouds,2021-08-01 21:37:44
78,Hithadhoo,MV,-0.6,73.0833,81.07,72,91,6.98,light rain,2021-08-01 21:37:45
79,Aykhal,RU,66.0,111.5,68.59,43,59,3.89,broken clouds,2021-08-01 21:37:45
80,Barrow,US,71.2906,-156.7887,51.82,79,90,19.57,overcast clouds,2021-08-01 21:35:50
81,Qaanaaq,GL,77.484,-69.3632,42.93,82,89,1.1,overcast clouds,2021-08-01 21:37:45
82,Yellowknife,CA,62.456,-114.3525,87.33,28,20,4.61,few clouds,2021-08-01 21:37:46
83,Vargashi,RU,55.3556,65.8467,62.01,82,0,7.63,clear sky,2021-08-01 21:37:46
84,Seymchan,RU,62.8833,152.4333,44.73,67,100,21.52,overcast clouds,2021-08-01 21:37:46
85,Isangel,VU,-19.55,169.2667,68.11,88,75,0.0,broken clouds,2021-08-01 21:37:47
86,San Cristobal,VE,7.7669,-72.225,82.58,89,76,6.13,broken clouds,2021-08-01 21:37:47
87,Magaria,NE,12.9983,8.9099,82.94,64,91,12.97,light rain,2021-08-01 21:37:47
88,Sambava,MG,-14.2667,50.1667,68.18,88,96,8.48,overcast clouds,2021-08-01 21:37:48
89,Makakilo City,US,21.3469,-158.0858,82.72,52,75,24.16,broken clouds,2021-08-01 21:37:48
90,Coihaique,CL,-45.5752,-72.0662,53.55,58,90,6.91,overcast clouds,2021-08-01 21:37:48
91,Ponta Do Sol,PT,32.6667,-17.1,72.23,60,1,7.31,clear sky,2021-08-01 21:37:49
92,Akyab,MM,20.15,92.9,79.75,87,100,3.74,overcast clouds,2021-08-01 21:37:49
93,Tilichiki,RU,60.4667,166.1,52.84,65,100,7.67,overcast clouds,2021-08-01 21:37:49
94,Paka,MY,4.6374,103.4368,75.13,100,83,0.0,broken clouds,2021-08-01 21:37:50
95,Tanhacu,BR,-14.0214,-41.2481,69.75,53,79,8.39,broken clouds,2021-08-01 21:37:50
96,Ryotsu,JP,38.0833,138.4333,78.76,79,98,2.55,overcast clouds,2021-08-01 21:37:50
97,Castro,BR,-24.7911,-50.0119,48.43,85,67,2.39,broken clouds,2021-08-01 21:37:51
98,Great Falls,US,47.5002,-111.3008,97.99,15,1,7.0,clear sky,2021-08-01 21:37:51
99,Yumen,CN,40.2833,97.2,65.71,47,95,7.4,overcast clouds,2021-08-01 21:37:51
100,Avera,US,33.194,-82.5271,96.91,37,51,13.51,broken clouds,2021-08-01 21:37:12
101,Nikolskoye,RU,59.7035,30.7861,62.4,91,26,4.9,scattered clouds,2021-08-01 21:37:52
102,Half Moon Bay,US,37.4636,-122.4286,89.91,64,20,1.01,few clouds,2021-08-01 21:37:52
103,Sur,OM,22.5667,59.5289,89.64,55,100,14.16,overcast clouds,2021-08-01 21:37:52
104,Avarua,CK,-21.2078,-159.775,75.25,94,75,13.8,moderate rain,2021-08-01 21:37:53
105,Santa Marta,CO,11.2408,-74.199,84.69,78,15,15.7,few clouds,2021-08-01 21:35:31
106,Cidreira,BR,-30.1811,-50.2056,57.18,91,88,7.0,overcast clouds,2021-08-01 21:37:53
107,Chuy,UY,-33.6971,-53.4616,49.62,93,23,5.77,few clouds,2021-08-01 21:37:54
108,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,77,0,8.05,clear sky,2021-08-01 21:37:54
109,Ust-Tsilma,RU,65.441,52.1498,48.45,97,27,3.2,scattered clouds,2021-08-01 21:37:54
110,Maceio,BR,-9.6658,-35.7353,74.64,83,75,10.36,broken clouds,2021-08-01 21:34:12
111,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.19,69,20,13.8,few clouds,2021-08-01 21:37:55
112,Plouzane,FR,48.3833,-4.6167,60.85,88,0,2.3,clear sky,2021-08-01 21:37:55
113,Solnechnyy,RU,50.7214,136.6319,58.68,82,98,4.03,overcast clouds,2021-08-01 21:37:55
114,Safaga,EG,26.7292,33.9365,89.55,42,17,3.36,few clouds,2021-08-01 21:37:56
115,Phan Thiet,VN,10.9333,108.1,76.17,93,91,10.09,overcast clouds,2021-08-01 21:37:56
116,Pestovo,RU,58.5938,35.8024,59.4,96,85,4.99,overcast clouds,2021-08-01 21:37:56
117,Atar,MR,20.5169,-13.0499,95.04,31,27,10.6,scattered clouds,2021-08-01 21:37:57
